Species,Date,Count,Observer,Location,Comments
YELLOW-CRESTED COCKATOO Cacatua sulphurea,2005-01-30,1,(NK/LKS/FR/IR/JR),Malcolm Park,"1 seen peeling off small branches of an albizia tree at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR)."
TANIMBAR COCKATOO Cacatua goffini,2005-01-02,4,(DA/NK/LKS/JR),Changi Beach Park,"4 seen at Changi Beach Park, 2/1 (DA/NK/LKS/JR).  3 at Holland Woods, 27/2 (HHC/JL)."
TANIMBAR COCKATOO Cacatua goffini,2005-02-27,3,(HHC/JL),Holland Woods,"4 seen at Changi Beach Park, 2/1 (DA/NK/LKS/JR).  3 at Holland Woods, 27/2 (HHC/JL)."
BLUE-CROWNED HANGING PARROT Loriculus galgulus,2005-01-17,1,(LKS),Dairy Farm Road,"1 over Dairy Farm Road, 17/1 (LKS) and 18/1 (LKS) and 4 at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  At Botanic Gardens, 7 were counted on 4/2 (LKS) and 5 on 28/2 (AF/LKS). Also 3 over Nee Soon, 8/2 (LKS), 1 at MacRitchie Reservoir, 16/2 (LKS) and 28/2 (AF/LKS), and | over Dairy Farm Road, 24/2  (LKS).  1 heard at the foot of Bukit Timah, 12/3 (LKS), 1 flying over Dairy Farm Road, 22/3 (LKS) and 3 at Sime  Road, 27/3 (LKS)."
BLUE-CROWNED HANGING PARROT Loriculus galgulus,2005-01-18,1,(LKS),Dairy Farm Road,"1 over Dairy Farm Road, 17/1 (LKS) and 18/1 (LKS) and 4 at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  At Botanic Gardens, 7 were counted on 4/2 (LKS) and 5 on 28/2 (AF/LKS). Also 3 over Nee Soon, 8/2 (LKS), 1 at MacRitchie Reservoir, 16/2 (LKS) and 28/2 (AF/LKS), and | over Dairy Farm Road, 24/2  (LKS).  1 heard at the foot of Bukit Timah, 12/3 (LKS), 1 flying over Dairy Farm Road, 22/3 (LKS) and 3 at Sime  Road, 27/3 (LKS)."
BLUE-CROWNED HANGING PARROT Loriculus galgulus,2005-01-30,4,(NK/LKS/FR/IR/JR),Malcolm Park,"1 over Dairy Farm Road, 17/1 (LKS) and 18/1 (LKS) and 4 at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  At Botanic Gardens, 7 were counted on 4/2 (LKS) and 5 on 28/2 (AF/LKS). Also 3 over Nee Soon, 8/2 (LKS), 1 at MacRitchie Reservoir, 16/2 (LKS) and 28/2 (AF/LKS), and | over Dairy Farm Road, 24/2  (LKS).  1 heard at the foot of Bukit Timah, 12/3 (LKS), 1 flying over Dairy Farm Road, 22/3 (LKS) and 3 at Sime  Road, 27/3 (LKS)."
BLUE-CROWNED HANGING PARROT Loriculus galgulus,2005-02-04,7,(LKS),Botanic Gardens,"1 over Dairy Farm Road, 17/1 (LKS) and 18/1 (LKS) and 4 at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  At Botanic Gardens, 7 were counted on 4/2 (LKS) and 5 on 28/2 (AF/LKS). Also 3 over Nee Soon, 8/2 (LKS), 1 at MacRitchie Reservoir, 16/2 (LKS) and 28/2 (AF/LKS), and | over Dairy Farm Road, 24/2  (LKS).  1 heard at the foot of Bukit Timah, 12/3 (LKS), 1 flying over Dairy Farm Road, 22/3 (LKS) and 3 at Sime  Road, 27/3 (LKS)."
BLUE-CROWNED HANGING PARROT Loriculus galgulus,2005-02-28,5,(AF/LKS),Botanic Gardens,"1 over Dairy Farm Road, 17/1 (LKS) and 18/1 (LKS) and 4 at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  At Botanic Gardens, 7 were counted on 4/2 (LKS) and 5 on 28/2 (AF/LKS). Also 3 over Nee Soon, 8/2 (LKS), 1 at MacRitchie Reservoir, 16/2 (LKS) and 28/2 (AF/LKS), and | over Dairy Farm Road, 24/2  (LKS).  1 heard at the foot of Bukit Timah, 12/3 (LKS), 1 flying over Dairy Farm Road, 22/3 (LKS) and 3 at Sime  Road, 27/3 (LKS)."
BLUE-CROWNED HANGING PARROT Loriculus galgulus,2005-02-08,3,(LKS),Nee Soon,"1 over Dairy Farm Road, 17/1 (LKS) and 18/1 (LKS) and 4 at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  At Botanic Gardens, 7 were counted on 4/2 (LKS) and 5 on 28/2 (AF/LKS). Also 3 over Nee Soon, 8/2 (LKS), 1 at MacRitchie Reservoir, 16/2 (LKS) and 28/2 (AF/LKS), and | over Dairy Farm Road, 24/2  (LKS).  1 heard at the foot of Bukit Timah, 12/3 (LKS), 1 flying over Dairy Farm Road, 22/3 (LKS) and 3 at Sime  Road, 27/3 (LKS)."
BLUE-CROWNED HANGING PARROT Loriculus galgulus,2005-02-16,1,(LKS),MacRitchie,"1 over Dairy Farm Road, 17/1 (LKS) and 18/1 (LKS) and 4 at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  At Botanic Gardens, 7 were counted on 4/2 (LKS) and 5 on 28/2 (AF/LKS). Also 3 over Nee Soon, 8/2 (LKS), 1 at MacRitchie Reservoir, 16/2 (LKS) and 28/2 (AF/LKS), and | over Dairy Farm Road, 24/2  (LKS).  1 heard at the foot of Bukit Timah, 12/3 (LKS), 1 flying over Dairy Farm Road, 22/3 (LKS) and 3 at Sime  Road, 27/3 (LKS)."
