English name,Scientific name,Date,Count,Observer,Location,Comments
Yellow-crested Cockatoo,Cacatua sulphurea,30/1/2005,1,(NK/LKS/FR/IR/JR),Malcolm Park,"1 seen peeling off small branches of an albizia tree at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR)."
Tanimbar Corella,Cacatua goffiniana,2/1/2005,4,(DA/NK/LKS/JR),Changi Beach Park,"4 seen at Changi Beach Park, 2/1 (DA/NK/LKS/JR).  3 at Holland Woods, 27/2 (HHC/JL)."
Tanimbar Corella,Cacatua goffiniana,27/2/2005,3,(HHC/JL),Holland Woods,"4 seen at Changi Beach Park, 2/1 (DA/NK/LKS/JR).  3 at Holland Woods, 27/2 (HHC/JL)."
Blue-crowned Hanging-Parrot,Loriculus galgulus,17/1/2005,1,(LKS),Dairy Farm Road,"1 over Dairy Farm Road, 17/1 (LKS) and 18/1 (LKS) and 4 at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  At Botanic Gardens, 7 were counted on 4/2 (LKS) and 5 on 28/2 (AF/LKS). Also 3 over Nee Soon, 8/2 (LKS), 1 at MacRitchie Reservoir, 16/2 (LKS) and 28/2 (AF/LKS), and | over Dairy Farm Road, 24/2  (LKS).  1 heard at the foot of Bukit Timah, 12/3 (LKS), 1 flying over Dairy Farm Road, 22/3 (LKS) and 3 at Sime  Road, 27/3 (LKS)."
Blue-crowned Hanging-Parrot,Loriculus galgulus,18/1/2005,1,(LKS),Dairy Farm Road,"1 over Dairy Farm Road, 17/1 (LKS) and 18/1 (LKS) and 4 at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  At Botanic Gardens, 7 were counted on 4/2 (LKS) and 5 on 28/2 (AF/LKS). Also 3 over Nee Soon, 8/2 (LKS), 1 at MacRitchie Reservoir, 16/2 (LKS) and 28/2 (AF/LKS), and | over Dairy Farm Road, 24/2  (LKS).  1 heard at the foot of Bukit Timah, 12/3 (LKS), 1 flying over Dairy Farm Road, 22/3 (LKS) and 3 at Sime  Road, 27/3 (LKS)."
Blue-crowned Hanging-Parrot,Loriculus galgulus,30/1/2005,4,(NK/LKS/FR/IR/JR),Malcolm Park,"1 over Dairy Farm Road, 17/1 (LKS) and 18/1 (LKS) and 4 at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  At Botanic Gardens, 7 were counted on 4/2 (LKS) and 5 on 28/2 (AF/LKS). Also 3 over Nee Soon, 8/2 (LKS), 1 at MacRitchie Reservoir, 16/2 (LKS) and 28/2 (AF/LKS), and | over Dairy Farm Road, 24/2  (LKS).  1 heard at the foot of Bukit Timah, 12/3 (LKS), 1 flying over Dairy Farm Road, 22/3 (LKS) and 3 at Sime  Road, 27/3 (LKS)."
Blue-crowned Hanging-Parrot,Loriculus galgulus,4/2/2005,7,(LKS),Botanic Gardens,"1 over Dairy Farm Road, 17/1 (LKS) and 18/1 (LKS) and 4 at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  At Botanic Gardens, 7 were counted on 4/2 (LKS) and 5 on 28/2 (AF/LKS). Also 3 over Nee Soon, 8/2 (LKS), 1 at MacRitchie Reservoir, 16/2 (LKS) and 28/2 (AF/LKS), and | over Dairy Farm Road, 24/2  (LKS).  1 heard at the foot of Bukit Timah, 12/3 (LKS), 1 flying over Dairy Farm Road, 22/3 (LKS) and 3 at Sime  Road, 27/3 (LKS)."
Blue-crowned Hanging-Parrot,Loriculus galgulus,28/2/2005,5,(AF/LKS),Botanic Gardens,"1 over Dairy Farm Road, 17/1 (LKS) and 18/1 (LKS) and 4 at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  At Botanic Gardens, 7 were counted on 4/2 (LKS) and 5 on 28/2 (AF/LKS). Also 3 over Nee Soon, 8/2 (LKS), 1 at MacRitchie Reservoir, 16/2 (LKS) and 28/2 (AF/LKS), and | over Dairy Farm Road, 24/2  (LKS).  1 heard at the foot of Bukit Timah, 12/3 (LKS), 1 flying over Dairy Farm Road, 22/3 (LKS) and 3 at Sime  Road, 27/3 (LKS)."
Blue-crowned Hanging-Parrot,Loriculus galgulus,8/2/2005,3,(LKS),Nee Soon,"1 over Dairy Farm Road, 17/1 (LKS) and 18/1 (LKS) and 4 at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  At Botanic Gardens, 7 were counted on 4/2 (LKS) and 5 on 28/2 (AF/LKS). Also 3 over Nee Soon, 8/2 (LKS), 1 at MacRitchie Reservoir, 16/2 (LKS) and 28/2 (AF/LKS), and | over Dairy Farm Road, 24/2  (LKS).  1 heard at the foot of Bukit Timah, 12/3 (LKS), 1 flying over Dairy Farm Road, 22/3 (LKS) and 3 at Sime  Road, 27/3 (LKS)."
Blue-crowned Hanging-Parrot,Loriculus galgulus,16/2/2005,1,(LKS),MacRitchie,"1 over Dairy Farm Road, 17/1 (LKS) and 18/1 (LKS) and 4 at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  At Botanic Gardens, 7 were counted on 4/2 (LKS) and 5 on 28/2 (AF/LKS). Also 3 over Nee Soon, 8/2 (LKS), 1 at MacRitchie Reservoir, 16/2 (LKS) and 28/2 (AF/LKS), and | over Dairy Farm Road, 24/2  (LKS).  1 heard at the foot of Bukit Timah, 12/3 (LKS), 1 flying over Dairy Farm Road, 22/3 (LKS) and 3 at Sime  Road, 27/3 (LKS)."
Blue-crowned Hanging-Parrot,Loriculus galgulus,28/2/2005,1,(AF/LKS),MacRitchie,"1 over Dairy Farm Road, 17/1 (LKS) and 18/1 (LKS) and 4 at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  At Botanic Gardens, 7 were counted on 4/2 (LKS) and 5 on 28/2 (AF/LKS). Also 3 over Nee Soon, 8/2 (LKS), 1 at MacRitchie Reservoir, 16/2 (LKS) and 28/2 (AF/LKS), and | over Dairy Farm Road, 24/2  (LKS).  1 heard at the foot of Bukit Timah, 12/3 (LKS), 1 flying over Dairy Farm Road, 22/3 (LKS) and 3 at Sime  Road, 27/3 (LKS)."
Blue-crowned Hanging-Parrot,Loriculus galgulus,24/2/2005,1,(LKS),Dairy Farm Road,"1 over Dairy Farm Road, 17/1 (LKS) and 18/1 (LKS) and 4 at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  At Botanic Gardens, 7 were counted on 4/2 (LKS) and 5 on 28/2 (AF/LKS). Also 3 over Nee Soon, 8/2 (LKS), 1 at MacRitchie Reservoir, 16/2 (LKS) and 28/2 (AF/LKS), and | over Dairy Farm Road, 24/2  (LKS).  1 heard at the foot of Bukit Timah, 12/3 (LKS), 1 flying over Dairy Farm Road, 22/3 (LKS) and 3 at Sime  Road, 27/3 (LKS)."
Blue-crowned Hanging-Parrot,Loriculus galgulus,12/3/2005,1,(LKS),Bukit Timah,"1 over Dairy Farm Road, 17/1 (LKS) and 18/1 (LKS) and 4 at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  At Botanic Gardens, 7 were counted on 4/2 (LKS) and 5 on 28/2 (AF/LKS). Also 3 over Nee Soon, 8/2 (LKS), 1 at MacRitchie Reservoir, 16/2 (LKS) and 28/2 (AF/LKS), and | over Dairy Farm Road, 24/2  (LKS).  1 heard at the foot of Bukit Timah, 12/3 (LKS), 1 flying over Dairy Farm Road, 22/3 (LKS) and 3 at Sime  Road, 27/3 (LKS)."
Blue-crowned Hanging-Parrot,Loriculus galgulus,22/3/2005,1,(LKS),Dairy Farm Road,"1 over Dairy Farm Road, 17/1 (LKS) and 18/1 (LKS) and 4 at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  At Botanic Gardens, 7 were counted on 4/2 (LKS) and 5 on 28/2 (AF/LKS). Also 3 over Nee Soon, 8/2 (LKS), 1 at MacRitchie Reservoir, 16/2 (LKS) and 28/2 (AF/LKS), and | over Dairy Farm Road, 24/2  (LKS).  1 heard at the foot of Bukit Timah, 12/3 (LKS), 1 flying over Dairy Farm Road, 22/3 (LKS) and 3 at Sime  Road, 27/3 (LKS)."
Blue-crowned Hanging-Parrot,Loriculus galgulus,27/3/2005,3,(LKS),Sime Road,"1 over Dairy Farm Road, 17/1 (LKS) and 18/1 (LKS) and 4 at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  At Botanic Gardens, 7 were counted on 4/2 (LKS) and 5 on 28/2 (AF/LKS). Also 3 over Nee Soon, 8/2 (LKS), 1 at MacRitchie Reservoir, 16/2 (LKS) and 28/2 (AF/LKS), and | over Dairy Farm Road, 24/2  (LKS).  1 heard at the foot of Bukit Timah, 12/3 (LKS), 1 flying over Dairy Farm Road, 22/3 (LKS) and 3 at Sime  Road, 27/3 (LKS)."
Rose-ringed Parakeet,Psittacula krameri,19/1/2005,1,(LKS),SBWR,"1 male seen at SBWR, 19/1 (LKS) and 4 including a juvenile at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  | at Botanic Gardens, 4/2 (LKS) and 1 at Kent Ridge Park, 12/2 (LKS)."
Rose-ringed Parakeet,Psittacula krameri,30/1/2005,4,(NK/LKS/FR/IR/JR),Malcolm Park,"1 male seen at SBWR, 19/1 (LKS) and 4 including a juvenile at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  | at Botanic Gardens, 4/2 (LKS) and 1 at Kent Ridge Park, 12/2 (LKS)."
Rose-ringed Parakeet,Psittacula krameri,4/2/2005,1,(LKS),Botanic Gardens,"1 male seen at SBWR, 19/1 (LKS) and 4 including a juvenile at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  | at Botanic Gardens, 4/2 (LKS) and 1 at Kent Ridge Park, 12/2 (LKS)."
Rose-ringed Parakeet,Psittacula krameri,12/2/2005,1,(LKS),Kent Ridge Park,"1 male seen at SBWR, 19/1 (LKS) and 4 including a juvenile at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  | at Botanic Gardens, 4/2 (LKS) and 1 at Kent Ridge Park, 12/2 (LKS)."
Glossy Swiftlet,Collocalia esculenta,14/1/2005,7,(DA/LKS),BBNP,"7 seen flying low over the quarry at BBNP, 14/1 (DA/LKS).  6 seen at the summit of Bukit Timah, 22/3 (LKS)."
Glossy Swiftlet,Collocalia esculenta,22/3/2005,6,(LKS),Bukit Timah,"7 seen flying low over the quarry at BBNP, 14/1 (DA/LKS).  6 seen at the summit of Bukit Timah, 22/3 (LKS)."
Asian Palm-Swift,Cypsiurus balasiensis,16/1/2005,1,(DA/NK/LKS),Lorong Halus,"1 at Lorong Halus, 16/1 (DA/NK/LKS) and 2 at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  3 seen near a stretch of planted fan palms at West Coast Park, 6/3 (DA/NK/LKS/JR)."
Asian Palm-Swift,Cypsiurus balasiensis,30/1/2005,2,(NK/LKS/FR/IR/JR),Malcolm Park,"1 at Lorong Halus, 16/1 (DA/NK/LKS) and 2 at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  3 seen near a stretch of planted fan palms at West Coast Park, 6/3 (DA/NK/LKS/JR)."
Asian Palm-Swift,Cypsiurus balasiensis,6/3/2005,3,(DA/NK/LKS/JR),West Coast Park,"1 at Lorong Halus, 16/1 (DA/NK/LKS) and 2 at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  3 seen near a stretch of planted fan palms at West Coast Park, 6/3 (DA/NK/LKS/JR)."
Collared Scops-Owl,Otus lettia,28/1/2005,2,(LKS),Kranji Nature,"2 flushed from a simpoh ayer bush at Kranji Nature Trail, 28/1 (LKS)."
Spotted Wood-Owl,Strix seloputo,4/1/2005,1,(JR),Malcolm Park,"1 seen at Malcolm Park, a new locality, on 4/1 (JR). Another heard at Punggol, another new locality, after  dusk on 16/1 (LKS)."
Spotted Wood-Owl,Strix seloputo,16/1/2005,1,(LKS),Punggol,"1 seen at Malcolm Park, a new locality, on 4/1 (JR). Another heard at Punggol, another new locality, after  dusk on 16/1 (LKS)."
Jungle Nightjar,Caprimulgus indicus,5/1/2005,1,(OSM),Treetop Walk,"1 present at the Treetop Walk at CCNR, 5/1 (OSM)."
